title,winery,region,ratings,number of ratings
Châteauneuf-du-Pape 2017,Domaine de Beaurenard,France·Châteauneuf-du-Pape,4.1,67
Oldfield Series 2Bench Red 2010,Tinhorn Creek,Canada·Okanagan Valley,4.1,63
Barbera d'Alba Affinato In Carati 2017,Paolo Scavino,Italy·Piemonte,4.1,63
Carinyena 2013,Coca i Fitó,Spain·Montsant,4.1,61
Chardonnay 2016,Smith-Madrone Winery & Vineyards,United States·Spring Mountain District,4.1,61
La Resistencia 2018,Micro Bio (MicroBio),Spain·Castilla y León,4.1,61
Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène' 2015,Alain Jaume,France·Châteauneuf-du-Pape,4.1,59
Carpe Diem 2013,Domaine de l'Ecu,France·Vin de France,4.1,56
Saint-Émilion Grand Cru 2014,Château Roquettes,France·Saint-Émilion Grand Cru,4.1,55
Brunello di Montalcino 2015,Tenuta di Sesta,Italy·Brunello di Montalcino,4.1,53
Ciabot Tanasio Barolo 2015,Sobrero,Italy·Barolo,4.1,50
Montefalco Sagrantino 2012,Plani Arche,Italy·Montefalco Sagrantino,4.1,50
Grès Rouges Châteauneuf-du-Pape 2015,Ogier,France·Châteauneuf-du-Pape,4.1,50
Vat 47 Chardonnay 2017,Tyrrell's,Australia·Hunter Valley,4.1,49
Barolo Bussia 2015,Attilio Ghisolfi,Italy·Barolo,4.1,47
Expressoes 2015,Anselmo Mendes,Portugal·Monção e Melgaço,4.1,46
Dickerson Zinfandel 2015,Ravenswood,United States·Napa Valley,4.1,46
Coyote Bowl Series  Syrah 2016,Church and State,Canada·Okanagan Valley,4.1,44
Le Rouvre Crozes-Hermitage 2018,Yann Chave,France·Crozes-Hermitage,4.1,43
The Eleventh Hour 2017,Massena,Australia·Barossa Valley,4.1,40
Châteauneuf-du-Pape 2015,Mourchon,France·Châteauneuf-du-Pape,4.1,38
Gattaia Pinot Nero 2015,Terre di Giotto,Italy·Toscana,4.1,37
Venezia Giulia Confini 2016,Lis Neris,Italy·Venezia Giulia,4.1,36
Saint-Émilion Grand Cru 2016,Château Grand Corbin Manuel,France·Saint-Émilion Grand Cru,4.1,35
Graciano 2015,Samuel's Gorge,Australia·McLaren Vale,4.1,35
Prulke 2017,Zidarich,Italy·Friuli-Venezia Giulia,4.1,33
Ribbon Vale Vineyard Cabernet Sauvignon 2017,Moss Wood,Australia·Margaret River,4.1,32
Chassagne Montrachet 2016,Domaine Sylvain Morey,France·Chassagne-Montrachet,4.1,31
Kaseler Nies'chen Riesling Kabinett 2010,Karlsmühle,Germany·Mosel,4.1,30
Clos Ribeaupierre Pinot Gris 2009,Jean Sipp,France·Alsace,4.1,29
Barolo Comune di Serralunga d'Alba 2016,Ettore Germano,Italy·Barolo,4.1,29
Hendry Block 28 Zinfandel 2016,Hendry,United States·Napa Valley,4.1,28
Portfolio 2017,Laughing Stock Vineyards,Canada·Okanagan Valley,4.1,27
Le Brin de Chévre Touraine 2018,Clos du Tue-Boeuf,France·Touraine,4.1,27
Corner Stone 2012,River Stone Estate Winery,Canada·Okanagan Valley,4.1,26
Le Gramolere Barolo 2015,Manzone,Italy·Barolo,4.1,26
Monthélie 1er Cru 'Le Meix Bataille' 2011,Paul Garaudet,France·Monthélie 1er Cru 'Le Meix Bataille',4.1,26
Reseca 2015,Gulfi,Italy·Terre Siciliane,4.1,25
Touriga Nacional 2015,Quinta do Vallado,Portugal·Douro,4,1155
Douro 2014,Roquette & Cazes,Portugal·Douro,4,1987
Brunello di Montalcino 2013,Val di Suga,Italy·Brunello di Montalcino,4,1875
Bolgheri Rosso 2017,Le Macchiole,Italy·Bolgheri,4,1527
Douro 2013,Roquette & Cazes,Portugal·Douro,4,1993
Touriga Nacional 2014,Quinta do Vallado,Portugal·Douro,4,930
Emilien 2016,Château le Puy,France·Côtes de Bordeaux,4,928
Saia 2015,Feudo Maccari,Italy·Terre Siciliane,4,913
Bin 28 Kalimna Shiraz 2017,Penfolds,Australia·Barossa Valley,4,901
Sonoma County Zinfandel 2017,Decoy,United States·Sonoma County,4,714
Castillon - Côtes de Bordeaux 2015,Château d'Aiguilhe,France·Castillon - Côtes de Bordeaux,4,661
Brunello di Montalcino 2014,Fattoria dei Barbi,Italy·Brunello di Montalcino,4,648
Martinet Bru Priorat (Garnatxa - Syrah) 2014,Martinet,Spain·Priorat,4,625
Rancia Chianti Classico Riserva 2013,Fèlsina,Italy·Chianti Classico,4,617
Mannequin 2017,Orin Swift,United States·California,4,568
Pinot Noir 2015,Dog Point,New Zealand·Marlborough,4,532
Barolo Serralunga 2013,Pira Luigi,Italy·Barolo,4,486
Barolo 2015,Mauro Molino,Italy·Barolo,4,484
Châteauneuf-du-Pape 2016,Domaine Chante Cigale,France·Châteauneuf-du-Pape,4,467
Finca El Puig Priorat 2013,Gran Clos,Spain·Priorat,4,451
Piastraia Bolgheri Superiore 2016,Michele Satta,Italy·Bolgheri Superiore,4,427
Big Bat Cabernet Sauvignon 2013,Mascota Vineyards,Argentina·Mendoza,4,407
Sancerre Blanc 2013,Domaine Delaporte,France·Sancerre,4,402
Pin 2012,La Spinetta,Italy·Monferrato,4,353
Pinot Noir 2015,Greywacke,New Zealand·Marlborough,4,347
Lousas Viña de Aldea 2017,Envínate,Spain·Ribeira Sacra,4,340
Chalk Hill Estate Chardonnay 2014,Chalk Hill,United States·Chalk Hill,4,315
Pinot Noir Terres de Famille 2015,Domaine de la Vougeraie,France·Bourgogne,4,299
Barolo 2013,Diego Conterno,Italy·Monferrato,4,299
Henry's Seven 2017,Henschke,Australia·Barossa,4,297
Amarone della Valpolicella Classico 2014,Begali Lorenzo,Italy·Amarone della Valpolicella Classico,4,285
Estate Grown Syrah 2013,Stolpman Vineyards,United States·Ballard Canyon,4,283
Barolo 2013,Fratelli Alessandria,Italy·Barolo,4,269
Savigny-les-Beaune 2015,Domaine Pavelot,France·Savigny-lès-Beaune,4,256
Cabernet Sauvignon 2016,Priest Ranch,United States·Napa Valley,4,243
Gigondas 2017,Château de Saint Cosme,France·Gigondas,4,241
County Pinot Noir Unfiltered 2016,Norman Hardie,Canada·Prince Edward County,4,240
Nebbiolo vigneti San Francesco Fontanazza Langhe 2013,Roberto Voerzio,Italy·Langhe,4,233
Vire-Clessé 2016,Les Héritiers du Comte Lafon,France·Viré-Clessé,4,224
Villages Cuvée Pinot Noir 2017,St. Innocent,United States·Willamette Valley,4,217
Knights Valley Cabernet Sauvignon 2015,Arrowood,United States·Knights Valley,4,204
Brauneberger Juffer Riesling Spätlese 2016,Fritz Haag,Germany·Brauneberg,4,198
1583 Albariño de Fefiñanes 2016,Fefiñanes,Spain·Rías Baixas,4,195
Vigno (Vignadores de Carignan) Carignan 2015,Undurraga,Chile·Maule Valley,4,188
Fralù Langhe Nebbiolo 2017,Bruno Rocca,Italy·Langhe,4,177
Gallina Barbera d'Alba 2015,La Spinetta,Italy·Barbera d'Alba,4,175
Pietramora Sangiovese Romagna Riserva Marzeno 2015,Fattoria Zerbina,Italy·Sangiovese di Romagna,4,169
Santa Maria Valley Pinot Noir 2016,Foxen,United States·Santa Maria Valley,4,165
Merlot 2013,St. Supéry,United States·Rutherford,4,163
O'Riada Shiraz 2016,Clonakilla,Australia·Canberra District,4,160
Domaine du Carrou Sancerre Blanc 2018,Dominique Roger,France·Sancerre,4,154
Merlot 2016,L'Ecole No 41,United States·Columbia Valley,4,152
Za Inspiraciju Vrhunsko Plavac Mali Barrique 2015,Stina,Croatia·Srednja I Juzna Dalmacija,4,148
Mercurey 1er Cru Clos du Roy 2017,Faiveley,France·Mercurey,4,144
Rosso di Montalcino 2017,Gianni Brunelli,Italy·Rosso di Montalcino,4,134
Chardonnay Toscana 2010,Capannelle,Italy·Toscana,4,131
Saumur Blanc 2017,Château Yvonne,France·Saumur,4,132
Roccato 2012,Rocca delle Macìe,Italy·Toscana,4,119
Graacher Himmelreich Riesling Spätlese 2016,Joh. Jos. Prüm,Germany·Graach,4,116
Bannockburn Chardonnay 2018,Felton Road,New Zealand·Central Otago,4,104
Terrassen Grüner Veltliner Smaragd 2015,Rudi Pichler,Austria·Wachau,4,104
Moulis-en-Médoc 1998,Château Bel-Air Lagrave,France·Moulis-en-Médoc,4,103
Clos du Four Mâcon-Milly-Lamartine 2016,Les Héritiers du Comte Lafon,France·Mâcon-Milly-Lamartine,4,103
Brunello di Montalcino 2015,Fanti,Italy·Brunello di Montalcino,4,98
Xisto Ilimitado Branco 2017,Luis Seabra,Portugal·Douro,4,98
Beiras Vinha Barrosa Velha 2010,Luis Pato,Portugal·Beiras,4,91
Knights Valley Cabernet Sauvignon 2016,Arrowood,United States·Knights Valley,4,87
Vouvray Clos du Bourg Sec 2018,Domaine Huet,France·Vouvray,4,85
Savigny-les-Beaune 2016,Domaine Pavelot,France·Savigny-lès-Beaune,4,76
Reserve Blaufränkisch 2015,Moric,Austria·Burgenland,4,76
Block UU Bien Nacido Vineyard Chardonnay 2016,Foxen,United States·Santa Maria Valley,4,74
TRePA 2007,Quinta do Pôpa,Portugal·Douro,4,73
Arte Rosso 2004,Domenico Clerico,Italy·Langhe,4,66
Badarina Barolo 2015,Bruna Grimaldi,Italy·Barolo,4,62
Pinot Nero 2011,Le Due Terre,Italy·Colli Orientali del Friuli,4,58
Savagnin 2016,Bénédicte et Stéphane Tissot,France·Arbois,4,58
Nectar of the Gods 2016,Blasted Church,Canada·Okanagan Valley,4,55
Graacher Domprobst Riesling Kabinett 2017,Willi Schaefer,Germany·Mosel,4,54
Obra Prima 2010,Quinta Ferreira,Canada·Okanagan Valley,4,50
Gigondas Vieilles Vignes 2016,Tardieu-Laurent,France·Gigondas,4,50
Pinot Gris Alsace Clos Jebsal Vendange Tardive 2009,Domaine Zind Humbrecht,France·Alsace,4,50
Tempranillo 2015,Samuel's Gorge,Australia·McLaren Vale,4,49
Elevation Shiraz 2014,Eperosa,Australia·Barossa Valley,4,48
Cuvée Romanissa 2017,Matassa,France·Côtes Catalanes,4,47
Whispering Hill Organic Merlot 2016,Mission Hill Family Estate,Canada·Okanagan Falls,4,46
La Noue Sancerre Rouge 2017,Claude Riffault,France·Sancerre,4,44
Boca 2015,Sergio Barbaglia,Italy·Boca,4,41
Moganazzi - Volta Sciara 2012,Azienda Agricola Le Vigne di Eli,Italy·Etna,4,41
Châteauneuf-du-Pape Blanc 2017,Domaine Raymond Usseglio & Fils,France·Châteauneuf-du-Pape,4,35
Grande Réserve Bordeaux Supérieur 2015,Château Le Grand Verdus,France·Bordeaux Supérieur,4,33
Cabernet Franc 2010,Tinhorn Creek,Canada·Okanagan Valley,4,33
Crozes-Hermitage Rouge 2018,Alain Graillot,France·Crozes-Hermitage,4,33
Synoptic 2016,Echo Bay Vineyard,Canada·Okanagan Falls,4,33
Cuvée Tradition Châteauneuf-du-Pape Blanc 2012,Domaine de Fontavin,France·Châteauneuf-du-Pape,4,33
Cenito Aglianico 2015,Luigi Maffini,Italy·Cilento,4,32
Côtes du Jura 2015,Jean Macle,France·Château-Chalon,4,30
Grand-Mont Bourgueil 2011,Domaine de la Chevalerie,France·Bourgueil,4,29
Terzotratto Taurasi 2010,I Favati,Italy·Taurasi,4,28
Merlot 2011,Le Due Terre,Italy·Colli Orientali del Friuli,4,27
Mâcon-Verzé 2016,Domaine Leflaive,France·Mâcon-Villages,3.9,913
Grande Reserva 2009,Quinta do Portal,Portugal·Douro,3.9,1410
Cabernet Sauvignon 2016,Rutherford Ranch,United States·Napa Valley,3.9,1242
Brunello di Montalcino 2013,Tenute Silvio Nardi,Italy·Brunello di Montalcino,3.9,1069
Mâcon-Verzé 2015,Domaine Leflaive,France·Mâcon-Villages,3.9,1019
Amarone della Valpolicella Classico 2013,Bolla,Italy·Amarone della Valpolicella Classico,3.9,1645
Ribera del Duero 2015,Finca Villacreces,Spain·Ribera del Duero,3.9,893
Perbacco Nebbiolo 2017,Vietti,Italy·Langhe,3.9,889
Sarget de Gruaud-Larose Saint-Julien 2014,Château Gruaud Larose,France·Saint-Julien,3.9,769
Syrah 2014,Mullineux,South Africa·Swartland,3.9,748
Château Cambon Beaujolais 2018,Domaine Mathieu & Camille Lapierre,France·Beaujolais,3.9,653
Saint-Émilion Grand Cru (Grand Cru Classé) 2014,Château de Pressac,France·Saint-Émilion Grand Cru,3.9,637
Pinot Noir 2014,Greywacke,New Zealand·Marlborough,3.9,634
Moulis-en-Médoc 2012,Château Dutruch Grand Poujeaux,France·Moulis-en-Médoc,3.9,570
Syrah 2016,Mullineux,South Africa·Swartland,3.9,549
Pithos Rosso 2016,COS,Italy·Terre Siciliane,3.9,529
Sassella Stella Retica Riserva 2015,ARPEPE,Italy·Valtellina Superiore,3.9,495
Poggio Valente 2008,Fattoria le Pupille,Italy·Toscana,3.9,475
Lalande-de-Pomerol 2013,Château La Fleur de Boüard,France·Lalande-de-Pomerol,3.9,430
Saint-Julien 2015,Château du Glana,France·Saint-Julien,3.9,419
Vino Nobile di Montepulciano 2016,Dei,Italy·Vino Nobile di Montepulciano,3.9,408
Blackwell Shiraz 2013,St Hallett,Australia·Barossa,3.9,310
Albe Barolo 2016,G.D. Vajra,Italy·Barolo,3.9,306
Les Fiefs de Lagrange Saint-Julien 2016,Château Lagrange,France·Saint-Julien,3.9,281
Hilltops Shiraz 2016,Clonakilla,Australia·Hilltops,3.9,280
Vineyard Selection Cabernet Sauvignon 2016,Eberle,United States·Paso Robles,3.9,272
Saint-Estèphe 2015,Château Le Boscq,France·Saint-Estèphe,3.9,262
Chardonnay 2017,Vasse Felix,Australia·Margaret River,3.9,261
Private Reserve Chardonnay 2017,Beringer,United States·Napa Valley,3.9,244
The Vincent Board Track Racer 2017,Mark Ryan Winery,United States·Columbia Valley,3.9,242
Estate Chardonnay 2015,Kumeu River,New Zealand·Kumeu,3.9,240
Saint-Aubin Vieilles Vignes 2017,Roux Père & Fils,France·Saint-Aubin,3.9,236
Teroldego Morei 2015,Foradori,Italy·Vigneti delle Dolomiti,3.9,226
Pinot Noir 2017,Brooks,United States·Willamette Valley,3.9,216
Pinot Noir 2015,Dalrymple,Australia·Pipers River,3.9,205
Dinavolo Bianco 2016,Denavolo Rivergaro,Italy·Emilia-Romagna,3.9,197
Châteauneuf-du-Pape 2016,Domaine de la Charbonnière,France·Châteauneuf-du-Pape,3.9,197
Pavillon du Glana Saint-Julien 2015,Château du Glana,France·Saint-Julien,3.9,186
Crozes-Hermitage 2016,Domaine Les Alexandrins,France·Crozes-Hermitage,3.9,176
Reserve Pinot Noir 2015,The Four Graces,United States·Dundee Hills,3.9,161
Assyrtiko 2018,Jim Barry,Australia·Clare Valley,3.9,161
Cuvée Les Ormeaux Bordeaux 2015,Clos Puy Arnaud,France·Bordeaux,3.9,156
Ried Klaus Riesling Federspiel 2015,Josef Jamek,Austria·Wachau,3.9,152
Vat 1 Sémillon 2010,Tyrrell's,Australia·Hunter Valley,3.9,147
Pithos Bianco 2017,COS,Italy·Terre Siciliane,3.9,144
Barolo 2012,Erbaluna,Italy·Barolo,3.9,133
Gigondas Terrasses De Montmirail 2015,Alain Jaume,France·Gigondas,3.9,133
La Reserve d'Angludet 2015,Château d'Angludet,France·Margaux,3.9,131
Swinto Old Vine Malbec 2016,Belasco de Baquedano,Argentina·Lujan de Cuyo,3.9,123
Mâcon-Chaintré 2016,Cornin,France·Mâcon-Chaintré,3.9,122
Saint-Émilion Grand Cru 2015,Château La Grave Figeac,France·Saint-Émilion Grand Cru,3.9,120
Graacher Domprobst Riesling Kabinett 2016,Willi Schaefer,Germany·Mosel,3.9,120
Pomerol 2014,Château Lagrange,France·Pomerol,3.9,119
Cadet Langhe Chardonnay 2015,Bruno Rocca,Italy·Langhe,3.9,117
Hendry Vineyard Pinot Noir 2016,Hendry,United States·Napa Valley,3.9,113
Inferno Fiamme Antiche Riserva 2015,ARPEPE,Italy·Valtellina Superiore,3.9,113
Fronsac 2015,Château Fontenil,France·Fronsac,3.9,107
Bechthold Vineyard Cinsault 2015,Turley,United States·Lodi,3.9,106
Langhe Chardonnay Educato 2018,Elio Grasso,Italy·Langhe,3.9,106
Cabernet Sauvignon 2015,Waterstone,United States·Napa Valley,3.9,104
Sanamaro Sobre Lias 2016,Pazo San Mauro,Spain·Rías Baixas,3.9,104
Laborde Double Select Syrah 2016,Luca,Argentina·Uco Valley,3.9,98
La Dame Rousse Lirac 2017,Domaine de la Mordorée,France·Lirac,3.9,90
Graacher Himmelreich Riesling Kabinett 2018,Willi Schaefer,Germany·Mosel,3.9,86
Petite Sirah 2015,Foppiano Vineyards,United States·Russian River Valley,3.9,83
Chablis 2018,Billaud-Simon,France·Chablis,3.9,82
Saint-Joseph Les Serines 2016,Yves Cuilleron,France·Saint-Joseph,3.9,81
Montefalco Sagrantino 2004,Perticaia,Italy·Montefalco Sagrantino,3.9,81
Montefalco Sagrantino 2005,Perticaia,Italy·Montefalco Sagrantino,3.9,79
Côtes de Tablas Blanc 2015,Tablas Creek Vineyard,United States·Paso Robles,3.9,79
Les Figuiers Saint-Péray 2017,Bernard Gripa,France·Saint-Péray,3.9,76
Les Esqueyrons Rasteau 2015,Grand Nicolet,France·Rasteau,3.9,75
Nero Misto 2015,Elyse,United States·California,3.9,75
Malvasia 2016,Zidarich,Italy·Carso,3.9,73
Contrada Villagrande Etna Rosso 2014,Barone di Villagrande,Italy·Etna,3.9,72
Ried Wachtberg 1 ÖTW Reserve Grüner Veltliner 2014,Domane Krems,Austria·Kremstal,3.9,71
Châteauneuf-du-Pape Blanc (Cuvée Tradition) 2016,Bosquet des Papes,France·Châteauneuf-du-Pape,3.9,71
L'Argile 2014,Saint Jean du Barroux,France·Ventoux,3.9,69
Riesling 2014,San Leonardo,Italy·Trentino-Alto Adige,3.9,66
Monopole Pouilly-Loché 2016,Clos des Rocs,France·Pouilly-Loché,3.9,65
Mercurey 'Les Murgers' 2016,Gouffier,France·Mercurey,3.9,60
Barbaresco 2016,Rizzi,Italy·Barbaresco,3.9,59
Xisto Cru Branco 2014,Luis Seabra,Portugal·Douro,3.9,55
Esperienze 2013,Macchion dei Lupi,Italy·Toscana,3.9,55
Barricadiero 2015,Aurora,Italy·Offida,3.9,54
Ephata 2013,Clos de l'Élu,France·Anjou,3.9,53
Barolo Margheria 2013,Boasso,Italy·Barolo,3.9,51
Chablis 2018,Domaine de Vauroux,France·Chablis,3.9,51
Pigeno Blauburgunder (Pinot Nero) 2017,Stroblhof,Italy·Südtirol - Alto Adige,3.9,50
TRePA 2008,Quinta do Pôpa,Portugal·Douro,3.9,47
Fixin 'Les Petits Crais' 2014,Jean Fournier,France·Fixin,3.9,47
Pinot Noir 2015,Saintsbury,United States·Los Carneros,3.9,47
Paso Las Mañas Paraje El Chorro 2016,Artuke,Spain·Vino de España,3.9,46
Barbaresco 2015,Collina Serragrilli,Italy·Barbaresco,3.9,46
Pinot Noir 2014,Averill Creek,Canada·Vancouver Island,3.9,45
Saint Cosme Crozes-Hermitage 2011,Château de Saint Cosme,France·Crozes-Hermitage,3.9,41
Chablis 1er Cru 'Vaillons' 2015,Jean et Sébastien Dauvissat,France·Chablis 1er Cru 'Vaillons',3.9,41
Chardonnay Sol 2015,Ronco del Gnemiz,Italy·Colli Orientali del Friuli,3.9,40
The Howling Dog 2015,Massena,Australia·Barossa Valley,3.9,40
Le Monsard Mâcon-Bussiéres 2016,Les Héritiers du Comte Lafon,France·Mâcon-Bussières,3.9,39
Beaune du Château Premier Cru Blanc 2016,Bouchard Père & Fils,France·Beaune Premier Cru,3.9,39
Bricco Ambrogio Barolo 2015,Bruna Grimaldi,Italy·Barolo,3.9,38
Pouilly-Fuissé Classique 2015,Joseph Burrier (Château de Beauregard),France·Pouilly-Fuissé,3.9,37
Sangiovese di S. Lucia 2016,Castello dei Rampolla,Italy·Toscana,3.9,37
Bolgherese Bolgheri Superiore 2016,Tenuta Di Vaira,Italy·Bolgheri Superiore,3.9,36
Pinot Noir Bourgogne 2017,François Mikulski,France·Bourgogne,3.9,35
Malvasia 2017,Zidarich,Italy·Carso,3.9,35
Domitilla 2012,Ad Fines,France·Vaucluse,3.9,34
Bourgogne Blanc 2018,Dominique Derain,France·Bourgogne,3.9,34
Brunello di Montalcino 2015,Fattoi,Italy·Brunello di Montalcino,3.9,32
Bianco 2016,Tenuta di Fiorano,Italy·Lazio,3.9,31
Granit Blanc 2017,Vincent Paris,France·Ardèche,3.9,31
Blanc 2013,Matassa,France·Vin de France,3.9,31
Grand Vin Blanc 2018,Château La Sauvageonne,France·Languedoc,3.9,30
Bugialla Chianti Classico Riserva 2017,Poggerino,Italy·Chianti Classico,3.9,29
Merlot 2016,Township 7,Canada·Okanagan Valley,3.9,28
Launegild Chardonnay Colline Pescaresi 2016,De Fermo,Italy·Colline Pescaresi,3.9,28
Piccadilly Chardonnay 2013,Grosset,Australia·Adelaide Hills,3.9,28
Cherry Ave Vineyard Pinot Noir 2016,Tawse,Canada·Twenty Mile Bench,3.9,25
Vieilles Vignes Bourgogne Blanc 2017,Jean-Philippe Fichet,France·Bourgogne,3.9,26
Ribbon Vale Vineyard Merlot 2017,Moss Wood,Australia·Margaret River,3.9,26
Pinot Gris Alsace 2018,Domaine Zind Humbrecht,France·Alsace,3.9,27
Cabernet Sauvignon 2014,Vasse Felix,Australia·Margaret River,3.8,400
Crozes-Hermitage Rouge 2016,E. Guigal,France·Crozes-Hermitage,3.8,1372
Contacto Alvarinho 2014,Anselmo Mendes,Portugal·Monção e Melgaço,3.8,835
Barbaresco 2011,Prunotto,Italy·Barbaresco,3.8,685
Selección de Familia Reserva 2012,Vivanco,Spain·Rioja,3.8,518
Savennières-Roche-aux-Moines 1999,Domaine Aux Moines,France·Savennières-Roche-aux-Moines,3.8,464
La Moussière Sancerre Blanc 2015,Alphonse Mellot,France·Sancerre,3.8,452
Nebbiolo Gavarini Langhe 2017,Elio Grasso,Italy·Langhe,3.8,424
Irouléguy Rouge 2017,Domaine Ilarria,France·Irouléguy,3.8,26
Grenache - Shiraz - Mataro 2016,Powell & Son,Australia·Barossa Valley,3.8,397
Saint-Estèphe 2013,Château Meyney,France·Saint-Estèphe,3.8,366
Dão Tinto 2010,Dom Bella,Portugal·Dão,3.8,278
Barbaresco 2017,Prunotto,Italy·Barbaresco,3.8,251
Moulis-en-Médoc 2014,Château Dutruch Grand Poujeaux,France·Moulis-en-Médoc,3.8,244
Pessac-Léognan (Grand Cru Classé de Graves) 2014,Château Bouscaut,France·Pessac-Léognan,3.8,235
Saint-Julien 2013,Château du Glana,France·Saint-Julien,3.8,215
Saint-Émilion Grand Cru 2011,Château Simard,France·Saint-Émilion Grand Cru,3.8,203
Savigny-les-Beaune 2014,Domaine Pavelot,France·Savigny-lès-Beaune,3.8,178
Cap Nord Crozes-Hermitage 2016,Combier,France·Crozes-Hermitage,3.8,178
Médoc 2016,Château Potensac,France·Médoc,3.8,170
Tapada de Coelheiros 2015,Herdade dos Coelheiros,Portugal·Alentejo,3.8,159
Finca La Escuela Malbec 2014,Tinto Negro (TintoNegro),Argentina·Mendoza,3.8,150
Pôpa TR 2009,Quinta do Pôpa,Portugal·Douro,3.8,147
Oakville Fumé Blanc 2015,Robert Mondavi,United States·Oakville,3.8,146
Domaine du Carrou Sancerre Blanc 2017,Dominique Roger,France·Sancerre,3.8,141
Finca de los Locos Rioja 2016,Artuke,Spain·Rioja,3.8,132
Sancerre Blanc 2018,Hubert Brochard,France·Sancerre,3.8,126
Riesling Vom Kies 2015,Weingut Forster,Germany·Nahe,3.8,121
Saint-Émilion Grand Cru (Grand Cru Classé) 2015,Château Laroze,France·Saint-Émilion Grand Cru,3.8,120
Vieilles Vignes Chablis 2018,Jean-Claude Bessin,France·Chablis,3.8,120
Benje 2017,Envínate,Spain·Islas Canarias,3.8,108
Pinot Noir 2016,50th Parallel Estate,Canada·Okanagan Valley,3.8,107
Cabernet Sauvignon 2017,Hunt & Harvest,United States·Napa Valley,3.8,99
Pernand-Vergelesses 'Les Combottes' 2017,Domaine Rapet,France·Pernand-Vergelesses,3.8,98
Old Vine Grenache 2016,Yangarra,Australia·McLaren Vale,3.8,97
Zinfandel 2018,Clos du Val,United States·Napa Valley,3.8,95
Steinterrassen Riesling 2014,Domane Krems,Austria·Kremstal,3.8,83
Vitovska 2017,Zidarich,Italy·Venezia Giulia,3.8,77
Côtes du Jura 2014,Jean Macle,France·Château-Chalon,3.8,69
Givry 2017,Domaine de la Ferté,France·Givry,3.8,69
Concongella Vineyards Pinot Meunier - Pinot Noir 2017,Best's,Australia·Great Western,3.8,62
Roero Arneis 2019,Bruno Giacosa,Italy·Roero,3.8,62
Bastardo 2018,Conceito,Portugal·Douro,3.8,61
Spätburgunder Rotwein Trocken 2016,Wittmann,Germany·Rheinhessen,3.8,56
Terrassen Riesling Smaragd 2015,Rudi Pichler,Austria·Wachau,3.8,52
Federspiel Mühlpoint Grüner Veltliner 2017,Alzinger,Austria·Wachau,3.8,50
Stewart Family Reserve Pinot Noir 2017,Quails' Gate,Canada·Okanagan Valley,3.8,49
Bourgogne Aligoté 2016,Benjamin Leroux,France·Bourgogne Aligoté,3.8,49
Toscana Fornace 2013,Selvapiana,Italy·Toscana,3.8,43
Cabernet Sauvignon 2012,Greenlane,Canada·Lincoln Lakeshore,3.8,36
Ribolla Gialla 2013,La Castellada,Italy·Collio,3.8,31
Petite Sirah 2013,Priest Ranch,United States·Napa Valley,3.8,28
Nunc Cesanese del Piglio Superiore 2013,Federici,Italy·Cesanese del Piglio,3.8,26
Savagnin Côtes du Jura 2014,Jean Bourdy,France·Côtes du Jura,3.8,25
Buriano Toscana 2012,Rocca di Castagnoli,Italy·Toscana,3.8,25
Langhe Nebbiolo 2017,Paolo Scavino,Italy·Langhe,3.7,497
Flori Barolo 2014,Araldica,Italy·Barolo,3.7,973
Foradori - Teroldego 2014,Foradori,Italy·Vigneti delle Dolomiti,3.7,924
Berardenga Chianti Classico 2015,Fèlsina,Italy·Chianti Classico,3.7,2283
Sauvignon Blanc 2017,Groth,United States·Napa Valley,3.7,417
Il Cerreto  Barbera d'Alba 2014,Roberto Voerzio,Italy·Barbera d'Alba,3.7,326
Côtes du Rhône Villages 'Seguret' 2015,Domaine de l'Amandine,France·Côtes-du-Rhône-Villages 'Seguret',3.7,322
Crimson Pinot Noir 2017,Ata Rangi,New Zealand·Martinborough,3.7,312
Commuter Cuvée Pinot Noir 2017,Grochau Cellars,United States·Willamette Valley,3.7,312
Etna Bianco 2017,Benanti,Italy·Etna,3.7,256
Cuvée Saint-Urbain Marsannay Rouge 2014,Jean Fournier,France·Marsannay,3.7,252
Cabernet Sauvignon - Merlot 2017,Cullen,Australia·Margaret River,3.7,197
Haut-Médoc 2015,Château Malescasse,France·Haut-Médoc,3.7,189
Pinot Noir 2018,Mac Forbes,Australia·Yarra Valley,3.7,172
Moulis-en-Médoc 2015,Château Dutruch Grand Poujeaux,France·Moulis-en-Médoc,3.7,160
Pannobile 2016,Heinrich,Austria·Burgenland,3.7,160
Chardonnay 2016,DAOU,United States·Paso Robles,3.7,152
Hacedor de Mundos Old Vines Cabernet Franc 2011,Gillmore,Chile·Loncomilla Valley,3.7,152
PF Shiraz 2016,Yangarra,Australia·McLaren Vale,3.7,151
Ghemme 2013,Torraccia del Piantavigna,Italy·Ghemme,3.7,122
La Tour Sarrazine Gigondas 2013,Le Clos des Cazaux,France·Gigondas,3.7,114
Jochinger Riesling Federspiel 2015,Josef Jamek,Austria·Wachau,3.7,111
Mineral Riesling Trocken 2017,Emrich-Schönleber,Germany·Nahe,3.7,104
Kepos 2017,Ampeleia,Italy·Costa Toscana,3.7,86
Mangan East Block 2016,Cullen,Australia·Margaret River,3.7,83
Syrah 2016,Amavi,United States·Walla Walla Valley,3.7,76
Frugal Farmer 2018,Rockford,Australia·Barossa Valley,3.7,66
