title,winery,region,ratings,number of ratings
Coastal Estates Sauvignon Blanc 2016,Beaulieu Vineyard (BV),United States·California,3.2,27
Saint Georges Old Vines Zinfandel 2015,Birichino,United States·Central Coast,3.9,69
Ghemme 2013,Torraccia del Piantavigna,Italy·Ghemme,3.7,122
Syrah 2015,Rancho Sisquoc,United States·Santa Barbara County,4.0,48
Trecione Chianti Riserva 2016,Le Calvane,Italy·Chianti,4.0,35
Recuérdame Sauvignon Blanc 2018,Dominio de la Vega,Spain·Utiel-Requena,3.9,47
Domaine des Billards Saint-Amour 2016,Jean Loron,France·Saint-Amour,3.7,203
Cabernet - Merlot 2017,Cedar Creek Estate Winery,Canada·Okanagan Valley,4.0,63
Proprietors' Selection Sauvignon Blanc N.V.,Jackson-Triggs,Canada·British Columbia,3.1,837
Lucky You 2018,Laurent Saillard,France·Vin de France,3.8,121
Second Innings Malbec 2017,Bleasdale,Australia·Langhorne Creek,3.8,240
Pinot Grigio 2018,Sacchetto,Italy·Venezia Giulia,3.4,79
Block 16 Old Vines Trebbiano 2019,Hester Creek,Canada·Okanagan Valley,4.2,27
Character Red Blend 2018,Hester Creek,Canada·Golden Mile,3.6,71
Cabernet Sauvignon 2018,Château des Charmes,Canada·Niagara-on-the-Lake,3.5,27
Syrah 2017,Intellego,South Africa·Swartland,3.6,46
Cabernet Sauvignon 2018,Protea,South Africa·Western Cape,3.4,101
Riesling 2017,Benjamin Bridge,Canada·Nova Scotia,3.7,30
Quarry Road Vineyard Riesling 2018,Tawse,Canada·Niagara Peninsula,4.0,31
Shiraz Shiraz Shiraz 2017,Tscharke,Australia·Barossa Valley,3.9,104
Coastal Estates Sauvignon Blanc 2016,Beaulieu Vineyard (BV),United States·California,3.2,27
Saint Georges Old Vines Zinfandel 2015,Birichino,United States·Central Coast,3.9,69
Ghemme 2013,Torraccia del Piantavigna,Italy·Ghemme,3.7,122
Tinto 2012,Cortes de Cima,Portugal·Alentejano,3.9,1786
Syrah 2015,Rancho Sisquoc,United States·Santa Barbara County,4.0,48
Tête de Cuvée Côtes de Bourg 2017,Château la Grolet,France·Côtes de Bourg,3.6,92
Big Bang Theory 2018,Blasted Church,Canada·Okanagan Valley,3.8,91
Les Greilles 2018,Causse Marines,France·Gaillac,3.9,29
Rendez-Vous 2017,Viranel,France·Languedoc-Roussillon,3.6,43
Chianti Classico 2015,Castello di Monsanto,Italy·Chianti Classico,3.7,509
Crozes-Hermitage 2017,Les Vins de Vienne - Cuilleron-Gaillard-Villard,France·Crozes-Hermitage,4.0,96
Cabernet Sauvignon 2011,Delheim,South Africa·Stellenbosch,3.8,40
Cabernet Sauvignon 2013,Delheim,South Africa·Stellenbosch,3.7,39
Merlot Unoaked N.V.,Naked Grape (Canada),Canada·Ontario,3.0,251
Viognier 2017,Stags' Leap,United States·Napa Valley,4.0,227
Le Vin du Sorcier 2019,Borie de Maurel,France·Vin de France,3.6,40
Liberalitas Tinto 2015,Vinha das Virtudes,Portugal·Alentejano,4.0,73
Reserva Branco 2017,Quinta da Romaneira,Portugal·Douro,3.9,73
Reserva Branco 2016,Quinta da Rede,Portugal·Douro,3.6,26
Olho no Pé Moscatel Galego Branco 2018,Folias de Baco,Portugal·Douro,3.7,35
Reserve Tinto 2014,Exlibris Baco,Portugal·Douro,4.0,84
Shiraz Unoaked N.V.,Naked Grape (Canada),Canada·Ontario,3.2,571
Reserve Oakville Cabernet Sauvignon 2016,29 & Oak,United States·Oakville,4.0,102
The Count (Founder's Red) 2014,Buena Vista,United States·Sonoma Valley,4.0,1048
Semi-Dry Riesling 2018,Vineland Estates Winery,Canada·Niagara Peninsula,4.2,45
Shiraz 2018,Earthworks,Australia·Barossa Valley,3.5,273
Shiraz 2017,Earthworks,Australia·Barossa Valley,3.7,686
Médoc 2012,Château Pontet Barrail,France·Médoc,3.6,410
Chiroubles 2018,Christophe Pacalet,France·Chiroubles,3.8,25
La Jalousie Savennières 2014,Domaine du Closel - Château des Vaults,France·Savennières,4.1,240
Pinot Blanc 2017,The Four Graces,United States·Willamette Valley,4.0,149
Petit Chablis 2017,Roland Lavantureux,France·Petit Chablis,3.8,124
Paul 2017,Saladin,France·Côtes-du-Rhône,3.7,29
Quinta de Saes Touriga Nacional 2016,Quinta da Pellada,Portugal·Dão,3.4,66
Le Monsard Mâcon-Bussiéres 2016,Les Héritiers du Comte Lafon,France·Mâcon-Bussières,3.9,39
Branco 2017,Malhadinha Nova,Portugal·Alentejo,4.1,122
Sauvignon Blanc 2017,Alpha Estate (Κτήμα Αλφα),Greece·Florina,4.0,504
Tancredi 2012,Donnafugata,Italy·Terre Siciliane,4.0,1379
Salto Mavrofilero Wild Yeast 2016,Skouras,Greece·Peloponnesos,3.7,82
Merlot 2017,Delheim,South Africa·Stellenbosch,3.5,43
Chardonnay 2017,Soumah,Australia·Yarra Valley,3.9,226
Defiant Pinot Noir 2017,Rosehall Run,Canada·Ontario,3.5,47
Saint-Joseph L'Amarybelle 2011,Yves Cuilleron,France·Saint-Joseph,3.8,232
Valpolicella Classico 2016,Novaia,Italy·Valpolicella Classico,3.3,83
Pinot Noir 2018,Pittnauer,Austria·Neusiedlersee,3.8,116
Sposa e Sposa 2014,Heartland,Australia·Langhorne Creek,3.9,158
Johanneshöhe Blaufränkisch 2017,Prieler,Austria·Burgenland,3.7,179
Estate Vineyards Chardonnay 2014,Stonestreet,United States·Alexander Valley,4.2,179
Steingarten Grüner Veltliner 2017,Weszeli,Austria·Kamptal,3.6,59
Douro Reserva Red 2014,Quinta do Portal,Portugal·Douro,3.9,519
Domaine de La Chanaise Morgon 2016,Domaine Piron Lameloise,France·Morgon,3.8,287
Malbec Reserva 2016,Kaiken,Argentina·Mendoza,3.7,1581
Single Vineyards El Vergal Tempranillo 2017,San Gregorio,Spain·Calatayud,3.8,760
Côtes du Jura Blanc 2014,Jean Bourdy,France·Côtes du Jura,3.8,93
Côtes du Rhône Villages Signargues 2018,Domaine la Montagnette,France·Côtes-du-Rhône-Villages 'Signargues',3.8,160
Tinto 2018,Maçanita,Portugal·Douro,3.8,245
Encruzado 2016,Ribeiro Santo,Portugal·Dão,3.9,457
Gago G 2014,Telmo Rodriguez,Spain·Toro,3.8,487
Dolcetto d'Alba Bricco dell'Oriolo 2017,Azelia,Italy·Dolcetto d'Alba,3.7,70
Pinot Noir 2018,Hidden Bench,Canada·Beamsville Bench,3.6,52
Bacchus 2019,Arrowleaf,Canada·Okanagan Valley,4.2,44
Reserve Pinot Noir 2018,Mission Hill Family Estate,Canada·Okanagan Valley,3.7,28
Genesis Red 2016,Kechris Winery,Greece·Macedonia,3.5,42
Viognier 2018,Durigutti,Argentina·Mendoza,3.3,35
Celentano Vineyard Gamay 2018,Orofino,Canada·Similkameen Valley,3.8,43
Bourgogne Chardonnay 2018,Nicolas Potel,France·Bourgogne,3.8,96
Merlot 2018,Peninsula Ridge Estates Winery,Canada·Niagara Peninsula,3.5,25
Proprietors' Selection Cabernet - Shiraz N.V.,Jackson-Triggs,Canada·Okanagan Valley,3.2,138
Steinterrassen Riesling 2014,Domane Krems,Austria·Kremstal,3.8,83
Blind Trust Red 2017,Laughing Stock Vineyards,Canada·Okanagan Valley,4.1,65
À La Carte Syrah 2017,Pour Le Vin,France·Pays d'Oc,3.1,42
Cabernet Franc 2017,Tinhorn Creek,Canada·Okanagan Valley,3.7,106
Reserve Chardonnay 2013,Salentein,Argentina·Tunuyán,3.8,602
Extravaganza Red Blend 2016,Trapiche,Argentina·Mendoza,3.7,206
Barbera d'Alba Sbilauta 2018,Rizieri,Italy·Barbera d'Alba,3.9,27
Haut-Médoc 2006,Château de Villegeorge,France·Haut-Médoc,3.4,47
Gran Medalla Malbec 2014,Trapiche,Argentina·Mendoza,4.2,1316
Cabernet Sauvignon 2015,La Belle Angèle,France·Vin de Pays,3.1,70
Seventy-Four K 2017,Road 13,Canada·Okanagan Valley,4,109
Pinot Noir 2016,Cedar Creek Estate Winery,Canada·Okanagan Valley,3.9,72
Valdolmo Nebbiolo d'Alba 2016,Vite Colte,Italy·Nebbiolo d'Alba,3.6,144
Langhe Favorita 2016,Fratelli Alessandria,Italy·Langhe,3.7,44
Sauvignon Blanc 2017,Map Maker,New Zealand·Marlborough,3.8,66
Alibi 2017,Black Hills Estate,Canada·British Columbia,3.4,28
Pinot Grigio 2016,Giorgio & Gianni,Italy·delle Venezie,3.4,64
Pouilly-Fumé 2017,Fournier Pere & Fils,France·Pouilly-Fumé,3.8,318
Toscana Canonico di Castellare 2016,Castellare,Italy·Toscana,3.7,46
Terroir Hunter Carignan (T.H.) 2014,Undurraga,Chile·Maule Valley,4,471
Barricato 40 Chardonnay 2015,Bollini,Italy·Trentino,3.9,33
Dido Macabeu - Garnatxa - Cartoixa 2015,Venus la Universal,Spain·Montsant,4,216
9 Mile Red 2015,Nichol Vineyard,Canada·Naramata Bench,3.7,32
Pinot Noir 2017,Ex Nihilo,Canada·Okanagan Valley,4.1,55
Cabernet Sauvignon 2016,Shed Horn,United States·Lake County,3.8,35
Sonoma Coast Pinot Noir 2013,Rodney Strong,United States·Sonoma Coast,3.8,27
Chardonnay 2016,Hayes Valley,United States·Monterey County,3.4,61
Private Reserve Sauvignon Blanc 2017,Peller Estates,Canada·Niagara Peninsula,3.5,26
Discovery Series P3 Pinot Gris - Pinot Noir - Pinot Blanc 2017,Inniskillin,Canada·Niagara Peninsula,3.6,28
Carmenère (Select Terroir Reserva) 2019,Santa Ema,Chile·Cachapoal Valley,3.2,40
The Tea Leaf Chenin Blanc 2016,Boutinot,South Africa·Western Cape,3.9,33
Toscana Bianco (Vermentino) 2017,Poggio Al Lupo,Italy·Toscana,4.1,36
Les Hauts de la Perruche Saumur Champigny 2018,Domaine de la Perruche,France·Saumur-Champigny,4,80
Pinot Noir 2016,O'Rourke's Peak Cellars,Canada·British Columbia,4,27
Crofters Chardonnay 2016,Houghton,Australia·Pemberton,3.4,26
Montepulciano d'Abruzzo 2014,Farnese,Italy·Montepulciano d'Abruzzo,3.2,53
Roditis 2016,Tetramythos,Greece·Patras,3.7,197
Merlot 2017,Cloud Break,United States·California,3.4,37
Malbec 2016,Burrowing Owl,Canada·Okanagan Valley,4.4,57
Honest John's Red 2017,Road 13,Canada·Okanagan Valley,3.5,95
Chemin des Murs Blanc 2017,Château de Parnay,France·Saumur,4.1,43
Zinfandel 2013,Bliss,United States·California,3.4,123
Malbec 2016,Burrowing Owl,Canada·Okanagan Valley,4.4,57
Merlot 2017,Cloud Break,United States·California,3.4,37
Honest John's Red 2017,Road 13,Canada·Okanagan Valley,3.5,95
Chemin des Murs Blanc 2017,Château de Parnay,France·Saumur,4.1,43
Sciaglin 2015,Emilio Bulfon,Italy·Venezia Giulia,4.1,41
Castore Bellone 2015,Cincinnato,Italy·Lazio,3.5,355
Corner Stone 2012,River Stone Estate Winery,Canada·Okanagan Valley,4.1,26
Cabernet Sauvignon 2016,Buck Shack,United States·Lake County,4,808
Calendas Tinto 2017,Ochoa,Spain·Navarra,3.1,38
Living Desert Red 2015,Bordertown Vineyards and Estate Winery,Canada·Okanagan Valley,3.9,62
Montefalco Sagrantino 2005,Perticaia,Italy·Montefalco Sagrantino,3.9,79
Dão Tinto 2012,Dom Bella,Portugal·Dão,3.9,306
Pinot Gris 2018,Mt. Boucherie,Canada·Similkameen Valley,3.2,70
Reserve Series Meritage 2016,Konzelmann,Canada·Niagara Peninsula,3.9,26
Pinot Noir 2017,Sperling,Canada·Okanagan Valley,3.8,47
The Looking Glass 2017,Rosewood Estates,Canada·Niagara Peninsula,3.9,41
